"Date","VIXSIM"
"1992-09-29",8683.29
"1992-09-30",8283.06
"1992-10-01",9460.56
"1992-10-02",10319.03
"1992-10-05",11606.73
"1992-10-06",11571.93
"1992-10-07",12192.58
"1992-10-08",11171.69
"1992-10-09",11896.75
"1992-10-12",11305.1
"1992-10-13",10382.83
"1992-10-14",10684.45
"1992-10-15",9924.59
"1992-10-16",9866.59
"1992-10-19",10040.6
"1992-10-20",9785.38
"1992-10-21",9640.37
"1992-10-22",9187.94
"1992-10-23",9547.56
"1992-10-26",9466.36
"1992-10-27",9419.95
"1992-10-28",9251.74
"1992-10-29",8973.32
"1992-10-30",9367.75
"1992-11-02",9669.37
"1992-11-03",10052.2
"1992-11-04",9443.16
"1992-11-05",8921.11
"1992-11-06",8520.88
"1992-11-09",8254.06
"1992-11-10",8335.27
"1992-11-11",8114.85
"1992-11-12",8335.27
"1992-11-13",8474.48
"1992-11-16",8619.49
"1992-11-17",8706.5
"1992-11-18",8439.68
"1992-11-19",8312.06
"1992-11-20",7929.23
"1992-11-23",7772.62
"1992-11-24",7343.39
"1992-11-25",7250.58
"1992-11-27",7296.98
"1992-11-30",7546.4
"1992-12-01",7424.59
"1992-12-02",7285.38
"1992-12-03",6977.96
"1992-12-04",6850.35
"1992-12-07",6960.56
"1992-12-08",6803.94
"1992-12-09",7296.98
"1992-12-10",7395.59
"1992-12-11",7157.77
"1992-12-14",7343.39
"1992-12-15",7198.38
"1992-12-16",7296.98
"1992-12-17",7041.76
"1992-12-18",6763.34
"1992-12-21",6757.54
"1992-12-22",6815.55
"1992-12-23",6676.33
"1992-12-24",6711.14
"1992-12-28",7088.17
"1992-12-29",7128.77
"1992-12-30",7308.58
"1992-12-31",7291.18
"1993-01-04",7749.42
"1993-01-05",7743.62
"1993-01-06",7755.22
"1993-01-07",8538.28
"1993-01-08",7987.24
"1993-01-11",7459.4
"1993-01-12",7412.99
"1993-01-13",7204.18
"1993-01-14",6954.76
"1993-01-15",6711.14
"1993-01-18",6664.73
"1993-01-19",6995.36
"1993-01-20",7047.56
"1993-01-21",6780.74
"1993-01-22",6554.52
"1993-01-25",6600.93
"1993-01-26",6641.53
"1993-01-27",6966.36
"1993-01-28",6983.76
"1993-01-29",7204.18
"1993-02-01",7151.97
"1993-02-02",7105.57
"1993-02-03",7030.16
"1993-02-04",7128.77
"1993-02-05",7482.6
"1993-02-08",7668.21
"1993-02-09",7819.03
"1993-02-10",7790.02
"1993-02-11",7360.79
"1993-02-12",7180.97
"1993-02-16",9141.53
"1993-02-17",9222.74
"1993-02-18",9025.52
"1993-02-19",8712.3
"1993-02-22",8526.68
"1993-02-23",8723.9
"1993-02-24",8538.28
"1993-02-25",7981.44
"1993-02-26",7633.41
"1993-03-01",7888.63
"1993-03-02",7244.78
"1993-03-03",7616.01
"1993-03-04",7795.82
"1993-03-05",8167.05
"1993-03-08",9408.35
"1993-03-09",8219.26
"1993-03-10",8068.45
"1993-03-11",8271.46
"1993-03-12",9083.53
