"Date","SPYSIM","TLTSIM"
"1964-06-04",11987.56,10799.03
"1964-06-05",12041.94,10800.75
"1964-06-08",11985.78,10819.53
"1964-06-09",12062.87,10821.26
"1964-06-10",12109.68,10822.98
"1964-06-11",12154.97,10807.65
"1964-06-12",12136.66,10809.38
"1964-06-15",12194.07,10811.11
"1964-06-16",12260.57,10812.84
"1964-06-17",12324.03,10831.64
"1964-06-18",12322.38,10833.36
"1964-06-19",12338.22,10852.2
"1964-06-22",12373,10853.93
"1964-06-23",12322.35,10855.66
"1964-06-24",12367.8,10857.38
"1964-06-25",12391.89,10859.11
"1964-06-26",12431.24,10860.84
"1964-06-29",12459.91,10879.73
"1964-06-30",12468.75,10881.46
"1964-07-01",12558.43,10883.18
"1964-07-02",12609.98,10884.91
"1964-07-06",12669.15,10886.64
"1964-07-07",12691.72,10888.37
"1964-07-08",12692.93,10890.1
"1964-07-09",12709.39,10874.64
"1964-07-10",12731.96,10876.37
"1964-07-13",12725.55,10860.96
"1964-07-14",12688.63,10879.84
"1964-07-15",12732.55,10881.57
"1964-07-16",12779.52,10883.3
"1964-07-17",12837.16,10867.88
"1964-07-20",12797.2,10852.48
"1964-07-21",12767.91,10854.22
"1964-07-22",12766.07,10855.96
"1964-07-23",12761.18,10874.82
"1964-07-24",12759.34,10876.56
"1964-07-27",12702.6,10878.29
"1964-07-28",12668.73,10880.03
"1964-07-29",12680.62,10881.77
"1964-07-30",12707.76,10883.5
"1964-07-31",12722.7,10885.24
"1964-08-03",12696.46,10886.97
"1964-08-04",12539.06,10888.71
"1964-08-05",12560.1,10890.45
"1964-08-06",12446.93,10892.18
"1964-08-07",12527.45,10893.92
"1964-08-10",12516.46,10895.66
"1964-08-11",12514.63,10880.23
"1964-08-12",12578.37,10881.97
"1964-08-13",12616.19,10866.58
"1964-08-14",12608.25,10885.46
"1964-08-17",12610.99,10887.2
"1964-08-18",12618.3,10888.94
"1964-08-19",12607.31,10890.68
"1964-08-20",12550.58,10892.42
"1964-08-21",12571.61,10894.16
"1964-08-24",12548.43,10878.75
"1964-08-25",12477.96,10880.5
"1964-08-26",12460.88,10916.59
"1964-08-27",12520.04,10883.98
